Gene ID,Adrenal Gland,Cerebral Cortex,Colon,Esophagus,Gallbladder,Heart,Kidney,Liver,Lung,Ovary,Pancreas,Placenta,Prostate,Rectum,Testis,Urinary Bladder
ENSG00000007038,0,0,1,0.8,7,0,0,0,5,0,0.5,0.2,7,2,96,2
ENSG00000007047,11,29,6,10,12,6,7,4,12,22,3,12,17,4,53,12
ENSG00000007062,0.5,4,41,8,78,5,21,1,4,0.2,4,41,5,22,13,9
ENSG00000007080,30,40,34,13,16,17,35,15,33,27,8,40,46,8,40,19
ENSG00000007129,2,2,2,0.9,4,0.5,0.6,1,10,1,0.2,8,1,3,3,7
ENSG00000007168,69,262,67,82,108,45,54,25,107,92,10,79,73,69,144,90
ENSG00000007171,1,2,7,0.6,2,0.6,1,0.3,4,1,0.2,1,0.6,23,1,19
ENSG00000007174,0.4,2,0.1,0.1,0.3,0,0.3,0,2,0.8,0.1,0.2,0.3,0.1,5,0
ENSG00000007202,59,62,65,67,62,22,66,6,75,61,8,70,51,65,73,76
ENSG00000007216,0,0,7,0,22,0,68,0.6,0.4,0,0.1,0,0.1,12,0.4,0
ENSG00000007237,17,282,23,34,40,32,2,1,32,18,1,38,8,24,46,34
ENSG00000007255,23,20,30,18,22,11,49,23,34,25,8,30,57,11,36,25
ENSG00000007264,0.9,12,1,0.6,4,0.4,0.6,0.7,7,0.1,0.1,1,1,0.8,3,2
ENSG00000007306,0,0,1576,175,105,0,3,0,0,0.1,0.8,0,0.4,1682,0.5,126
ENSG00000007312,1,0.6,5,4,17,5,2,1,9,1,0.2,5,4,8,2,39
ENSG00000007314,0.9,0.2,0.2,0.4,1,0.4,0.6,0.1,0.3,0.5,0.1,0.4,0.6,0.3,4,0.3
ENSG00000007341,6,3,5,4,4,2,3,2,5,8,0.8,4,6,5,32,5
ENSG00000007350,0.2,0.4,0.1,0,0.2,2,0,0.1,0.6,0,0,0.3,0.2,0.2,346,0.4
ENSG00000007372,1,13,0.6,0.5,0.6,0.3,0.8,0.3,0.9,0.8,1,0.3,0.8,0.9,1,0.6
ENSG00000007376,6,10,9,6,7,3,7,2,11,10,2,10,11,3,7,11
ENSG00000007384,9,7,12,21,31,12,6,2,39,35,3,61,47,11,8,21
ENSG00000007392,35,29,15,19,43,8,12,5,41,51,6,30,51,24,41,30
ENSG00000007402,1,9,4,2,2,2,2,0.3,151,6,2,5,9,4,24,1
ENSG00000007516,37,33,2,2,0.8,1,6,2,7,0.5,3,5,8,1,24,1
ENSG00000007520,44,55,39,32,35,30,41,10,51,59,17,60,64,16,48,37
ENSG00000007541,18,14,7,7,16,4,18,2,25,14,9,14,21,3,32,11
ENSG00000007545,6,10,5,7,8,3,4,0.6,12,13,1,10,10,6,30,8
ENSG00000007866,17,3,34,81,82,31,14,8,43,50,5,124,80,42,19,74
ENSG00000007908,5,0.8,1,11,40,1,1,5,3,0.9,0.5,3,67,1,1,76
ENSG00000007923,29,28,33,23,24,19,33,12,22,34,4,26,21,43,29,23
ENSG00000007933,22,0.7,1,7,4,2,11,577,23,0.3,1,0.1,2,0.9,0.6,3
ENSG00000007944,56,25,35,42,85,17,42,5,93,116,6,256,54,46,46,79
ENSG00000007952,0.6,0.8,120,1,2,0,0.7,0.1,0.4,0.6,0,0.4,1,176,0.4,4
ENSG00000007968,0.3,0.3,8,8,0.9,0.1,0,0.2,1,0,0,5,0.4,12,11,4
ENSG00000008018,143,102,119,121,150,72,84,85,147,144,20,212,148,148,116,143
ENSG00000008056,16,530,2,0.3,4,5,0.7,0.4,0.6,3,0.6,4,2,2,4,1
ENSG00000008083,9,24,12,24,18,6,6,3,19,19,2,25,13,13,65,19
ENSG00000008086,4,38,3,8,5,3,6,1,12,10,1,7,11,3,9,7
ENSG00000008118,6,49,0.3,0.3,2,0,6,0.2,1,45,0.2,1,9,0.4,2,1
ENSG00000008128,8,5,9,6,11,2,4,2,11,9,2,11,11,10,10,9
ENSG00000008130,70,21,43,30,56,10,15,22,56,43,9,60,40,36,52,55
ENSG00000008196,10,0,0,4,0.1,0,8,0,0,0,0,0.7,0,0,1,0
ENSG00000008197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0
ENSG00000008226,0.5,1,1,0.4,3,0.1,0.5,0.3,7,2,0,0.6,3,2,37,0.8
ENSG00000008256,22,32,19,30,39,22,17,3,49,33,3,106,21,16,58,24
ENSG00000008277,19,58,3,2,5,1,5,0.1,3,11,0.2,0.5,17,4,3,3
ENSG00000008282,150,96,152,268,196,63,153,55,177,177,20,180,224,156,258,261
ENSG00000008283,184,25,32,47,38,5,23,5,67,14,22,31,140,32,11,30
ENSG00000008294,37,92,31,61,66,17,43,23,68,67,9,56,34,33,117,41
ENSG00000008300,4,10,0.9,0.4,0.7,0.1,0.2,0.1,0.7,0.7,0.4,1,0.5,1,10,0.8
ENSG00000008311,30,21,7,20,27,14,28,41,33,101,7,21,39,10,19,29
ENSG00000008323,0.2,0,31,38,10,0.1,1,1,3,0.1,1,22,3,21,1,10
ENSG00000008324,25,25,26,17,26,8,14,17,27,29,4,24,49,25,18,35
ENSG00000008382,19,20,28,19,14,11,16,15,23,21,7,15,29,19,10,22
ENSG00000008394,181,20,90,40,54,3,52,313,52,1,4,6,49,49,7,84
ENSG00000008405,22,19,14,19,43,6,10,6,29,14,4,22,24,16,86,21
ENSG00000008438,0.3,0.4,0,0.5,0,0.1,0.2,0,1,0,0.1,3,0.6,0.2,5,0.3
ENSG00000008441,19,167,37,78,90,35,15,17,110,115,6,21,180,25,32,56
ENSG00000008513,46,24,7,27,62,41,55,22,46,36,6,39,14,11,14,74
ENSG00000008516,1,2,4,1,7,0.3,0.3,1,7,0.5,0.6,3,2,4,1,8
ENSG00000008517,11,8,88,7,41,15,41,170,110,7,19,26,17,44,8,39
ENSG00000008710,18,23,9,10,10,11,5,1,17,34,3,15,27,4,20,12
ENSG00000008735,12,103,0.9,0.8,0.3,0.1,0.9,0,1,10,1,1,2,0.5,13,0.1
ENSG00000008838,23,48,22,25,28,16,16,7,35,37,5,39,32,25,65,28
ENSG00000008853,12,40,5,8,14,15,10,0.9,79,28,2,23,11,5,18,28
ENSG00000008869,21,29,20,19,29,9,13,8,30,26,6,22,31,26,22,24
ENSG00000008952,118,169,78,61,116,25,102,104,105,120,23,93,131,67,51,97
ENSG00000008988,383,176,353,334,398,185,241,188,451,1652,110,492,524,287,311,503
ENSG00000009307,323,303,365,498,485,351,296,177,412,626,72,377,465,358,629,522
ENSG00000009335,29,36,36,47,49,20,23,14,40,41,7,33,40,37,63,50
ENSG00000009413,14,20,14,19,21,5,9,6,24,21,3,24,18,17,29,25
ENSG00000009694,5,6,0.5,0.4,4,0.2,2,5,2,0.1,0,0.1,9,0.8,2,0.5
ENSG00000009709,0.1,3,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0
ENSG00000009724,2,4,2,1,3,0.8,1,55,5,6,0.5,2,3,3,5,1
ENSG00000009765,0.1,0,15,0,20,0.2,49,35,1,0,0.1,0,0.4,14,0.2,0.5
ENSG00000009780,9,14,12,15,18,7,10,6,20,16,2,15,21,15,26,14
ENSG00000009790,1,1,4,3,11,0.4,0.9,0.9,10,2,0.2,2,4,8,2,16
ENSG00000009830,9,10,5,4,8,3,4,2,8,10,1,12,8,7,37,6
ENSG00000009844,18,39,28,30,27,12,17,13,20,21,3,28,22,30,17,29
ENSG00000009950,54,7,4,0.4,18,0.9,17,63,3,1,4,0.1,2,5,26,0
ENSG00000009954,50,64,45,51,61,21,31,29,59,94,9,63,59,53,58,67
ENSG00000010017,58,105,45,213,91,26,37,34,60,64,9,74,70,51,391,80
ENSG00000010030,3,2,4,4,8,0.3,0.8,1,7,3,0.2,8,2,4,2,9
ENSG00000010072,6,8,6,8,10,3,5,3,7,6,0.7,12,7,6,29,10
ENSG00000010165,25,30,26,22,29,10,20,10,34,36,4,29,33,31,51,30
ENSG00000010219,7,6,6,4,7,3,3,2,7,11,1,7,9,8,48,6
ENSG00000010244,29,25,27,39,45,10,14,10,40,47,4,46,44,45,43,40
ENSG00000010256,98,110,216,121,88,237,141,74,89,72,22,122,102,209,136,108
ENSG00000010270,22,40,20,11,31,11,20,7,39,30,3,52,55,22,38,29
ENSG00000010278,246,129,443,751,131,49,115,25,497,33,15,114,704,355,31,303
ENSG00000010282,1,51,0,0.2,0.4,337,0.1,0,0.5,0.1,0.3,0.1,0.5,0.1,3,0.1
ENSG00000010292,14,15,31,29,28,7,10,3,27,21,3,49,20,37,58,33
ENSG00000010295,19,25,6,10,26,10,7,4,32,24,2,33,18,8,27,24
ENSG00000010310,0.4,1,3,0.7,3,3,0.7,0.1,6,0.1,1,0.3,3,6,0.3,3
ENSG00000010318,6,5,7,5,6,5,4,3,7,8,1,6,9,14,2197,5
ENSG00000010319,5,10,11,11,17,10,28,1,36,5,1,81,9,9,5,14
ENSG00000010322,56,71,22,30,55,16,20,8,72,93,9,73,104,26,117,47
ENSG00000010327,86,10,31,26,87,13,10,20,43,9,3,163,23,35,20,83
ENSG00000010361,15,16,5,5,12,4,14,3,13,21,3,11,14,5,62,8
ENSG00000010379,0.1,5,0.1,0,0,0.5,107,5,1,0.1,0,0,0.3,0,3,0.1
ENSG00000010404,98,697,40,46,78,31,30,13,108,111,6,35,66,43,21,65
ENSG00000010438,5,22,101,70,32,2,3,0.6,0.1,6,7544,5,0.4,86,4,1
ENSG00000010539,3,4,3,3,6,2,2,1,6,6,0.6,8,5,4,27,6
ENSG00000010610,27,27,35,26,86,7,11,90,136,19,2,100,14,55,14,96
ENSG00000010626,6,11,3,4,8,4,8,2,15,13,0.7,5,8,4,51,4
ENSG00000010671,5,5,7,6,19,0.9,1,3,29,2,0.4,10,4,15,3,25
ENSG00000010704,11,3,7,7,20,2,7,10,11,13,2,11,14,9,3,17
ENSG00000010803,26,23,22,26,44,34,22,5,39,81,9,27,63,32,75,43
ENSG00000010810,11,101,15,16,48,14,12,11,53,33,1,31,8,16,21,38
ENSG00000010818,15,56,11,25,43,8,14,7,23,47,5,20,14,12,7,31
ENSG00000010932,10,0,0.9,3,13,0.5,190,0.4,2,13,0.7,5,1,0.7,3,9
ENSG00000011007,25,25,28,46,41,14,20,21,63,41,15,42,33,31,49,41
ENSG00000011009,40,23,53,68,60,21,47,19,68,41,9,89,60,38,36,80
ENSG00000011021,21,49,9,10,18,11,13,5,23,44,2,20,26,12,42,15
ENSG00000011028,19,13,17,38,130,25,17,5,89,91,3,26,52,12,45,62
ENSG00000011052,2,2,0.9,2,1,0.4,0.1,0,0.3,0.8,0.5,3,0.8,0.8,0.8,3
ENSG00000011083,0,23,4,0,0,0,0,0,0,0,0,0,0.1,9,0.2,0
ENSG00000011105,19,15,10,20,83,100,54,26,59,59,4,128,52,10,13,31
ENSG00000011114,9,10,17,20,21,6,14,4,18,24,3,17,17,18,18,22
ENSG00000011132,4,4,4,3,5,1,4,2,7,9,1,8,7,2,4,5
ENSG00000011143,10,8,8,10,11,4,8,2,14,31,2,11,15,11,25,12
ENSG00000011198,15,15,20,48,36,12,15,17,29,8,4,26,16,19,31,34
ENSG00000011201,10,53,2,3,6,5,2,0.9,210,0.9,0.2,3,12,2,12,5
ENSG00000011243,33,25,13,15,33,12,15,8,37,44,6,41,41,18,63,27
