Gene ID,Adrenal Gland,Cerebral Cortex,Colon,Esophagus,Gallbladder,Heart,Kidney,Liver,Lung,Ovary,Pancreas,Placenta,Prostate,Rectum, Testis,Urinary Bladder
ENSG00000005020,-0.043844597,-0.029298244,-0.044557157,-0.055846422,-0.0290281,0.043576225,-0.011408524,0.110475423,0.022747116,0.043180832,0.084982417,-0.029668412,0.015443288,0.037596268,-0.020994232,-0.09335588
ENSG00000005022,0.050263137,0.033408597,-0.106428962,-0.01969678,-0.026551622,0.128685587,0.027723926,0.014784606,-0.003498392,0.001066525,0.004560755,0.070823799,-0.01738004,-0.114633007,0.003445806,-0.046573937
ENSG00000005059,-0.026755853,-0.040133779,-0.066889632,-0.073578595,-0.133779264,-0.02006689,-0.013377926,-0.013377926,-0.107023411,-0.100334448,-0.003344482,-0.107023411,-0.033444816,-0.086956522,-0.046822742,-0.127090301
ENSG00000005073,-0.010356732,0,-0.080552359,0,0,0,-0.046029919,0,0,-0.01150748,0,-0.287686997,-0.276179517,-0.103567319,-0.01150748,-0.172612198
ENSG00000005075,0.027974304,0.004626174,0.012145028,-0.039408867,-0.062397373,-0.054187192,-0.042692939,-0.044334975,0.205789838,-0.037475179,-0.018062397,-0.088669951,0.010142896,-0.05090312,0.12798242,0.049471333
ENSG00000005100,-0.054794521,-0.105022831,-0.054794521,-0.068493151,-0.077625571,-0.02283105,-0.03652968,-0.03196347,-0.073059361,-0.086757991,-0.01369863,-0.086757991,-0.073059361,-0.063926941,-0.082191781,-0.068493151
ENSG00000005102,-0.011402509,0,-0.057012543,-0.07981756,-0.15963512,-0.250855188,0,0,-0.022805017,-0.003420753,-0.002280502,-0.002280502,-0.034207526,-0.068415051,-0.045610034,-0.262257697
ENSG00000005108,0.069318763,0.002744451,-0.020855057,-0.020855057,0.176259035,-0.00729927,-0.177267987,0.036425913,-0.052137643,0.061370685,0.122226436,-0.15641293,-0.041675722,0.026377249,0.030519657,-0.048738521
ENSG00000005156,-0.025979366,-0.01086601,0.000491072,-0.042820707,-0.04873253,-0.008415425,-0.015745125,0.000245864,-0.053846154,0.113375551,0.156637549,-0.044636115,-0.044911193,-0.000309363,0.017981004,0.007530948
ENSG00000005175,0.123031063,-0.05147174,-0.021810132,-0.063636364,-0.07708846,0.001152439,-0.018108965,0.009555198,-0.02341742,0.083122062,0.092286871,-0.047258526,-0.039539357,-0.03550265,0.153534468,-0.084848485
