APD,Group
1.8696909537628892,Lymphatic
1.7283196792487991,Lymphatic
1.8597783632110165,Lymphatic
1.895277728148421,Lymphatic
1.8535543260449496,Lymphatic
1.7239280684077796,Lymphatic
1.74057352924984,Lymphatic
1.8312992783656044,Lymphatic
1.738425039096766,Lymphatic
1.9218566204465046,Lymphatic
1.6723725081171192,Ovary
1.5959234457445002,Ovary
1.7260950278167924,Ovary
1.6460206050185424,Ovary
1.724014393439779,Ovary
1.6014427683794692,Ovary
1.5384876269670162,Ovary
1.8061738415192665,Ovary
1.6857448930674495,Ovary
1.7886030543695253,Ovary
1.7883637357676667,Placenta
1.7209962759192872,Placenta
1.539917722538695,Placenta
1.756364075493068,Placenta
1.8119007130050955,Placenta
1.759775611686275,Placenta
1.846612864094958,Placenta
1.8097102056105998,Placenta
1.5744568425427328,Placenta
1.7562442848270152,Placenta
1.8140261851518265,Prostate
1.9011530562847276,Prostate
1.829772936267788,Prostate
1.8348270582582606,Prostate
1.6250786849221228,Prostate
1.9091110138068341,Prostate
1.9233700727419074,Prostate
1.9384192751747065,Prostate
1.9036919238092227,Prostate
1.9155827795854177,Prostate
1.849103864584964,Rectum
1.8855291073165819,Rectum
1.7889325509177438,Rectum
1.6758628964941769,Rectum
1.740725380018193,Rectum
1.829698687275335,Rectum
1.841540682279837,Rectum
1.8387394414247118,Rectum
1.7380114192879066,Rectum
1.9023221145488707,Rectum
2.1588656961564276,Salivary Gland
2.0560122647515264,Salivary Gland
2.2449114841488567,Salivary Gland
2.128665766243899,Salivary Gland
2.0925794916546643,Salivary Gland
2.05335523913397,Salivary Gland
2.1558168695571154,Salivary Gland
2.1306992108675047,Salivary Gland
2.134329807593503,Salivary Gland
2.0031392768810146,Salivary Gland
1.7968319138459499,Skeletal Muscle
1.7675528060254218,Skeletal Muscle
1.7421074126937879,Skeletal Muscle
1.663876515928818,Skeletal Muscle
1.5921328719913002,Skeletal Muscle
1.7174643719227025,Skeletal Muscle
1.5449605554551533,Skeletal Muscle
1.7639493174269387,Skeletal Muscle
1.9491262840465606,Skeletal Muscle
1.8658400828845836,Skeletal Muscle
1.792343329866135,Small Intestine
1.5947122656940373,Small Intestine
1.7871602192669533,Small Intestine
1.749805909261352,Small Intestine
1.7005681906450811,Small Intestine
1.6193142235117255,Small Intestine
1.639832138380519,Small Intestine
1.804240328983007,Small Intestine
1.8167528033308136,Small Intestine
1.7306087931016652,Small Intestine
1.646084937080077,Smooth Muscle
1.6753147232880328,Smooth Muscle
1.763954357938187,Smooth Muscle
1.6664279090413705,Smooth Muscle
1.7544884969789611,Smooth Muscle
1.7876376101277667,Smooth Muscle
1.8021122951629749,Smooth Muscle
1.7923033971983415,Smooth Muscle
1.7888928305082532,Smooth Muscle
1.7175958111227085,Smooth Muscle
1.7203317078411882,Spleen
1.78814818069248,Spleen
1.752476886103905,Spleen
1.6426611005428042,Spleen
1.9105198077232308,Spleen
1.91857936851167,Spleen
1.6838062496629636,Spleen
1.6887656116217769,Spleen
1.6967667273782883,Spleen
1.7329597083502226,Spleen
2.013712205026509,Stomach
2.0284192827533967,Stomach
1.8887104236446102,Stomach
1.970830505418323,Stomach
1.8252815484383969,Stomach
2.075447012694638,Stomach
1.8898920565782973,Stomach
1.7813611294819607,Stomach
1.9398601316404953,Stomach
1.9210321222826507,Stomach
1.6748641152181876,Testis
1.9407789069717212,Testis
1.8754986623482996,Testis
1.815278647603882,Testis
2.0030628777353554,Testis
1.8791845295418443,Testis
1.9065829945586843,Testis
1.810844384924325,Testis
1.8754242595491382,Testis
1.797151032819271,Testis
1.617210564423544,Thyroid
1.7561990913829049,Thyroid
1.7190859312967883,Thyroid
1.6779846929212439,Thyroid
1.805450618890783,Thyroid
1.582074569129574,Thyroid
1.7895265494870416,Thyroid
1.6653187312739985,Thyroid
1.6263330270376464,Thyroid
1.7837345140611072,Thyroid
2.0596985785089594,Tonsil
1.939081400336619,Tonsil
2.026909896064855,Tonsil
1.8812633797248406,Tonsil
1.9067799458551733,Tonsil
1.915897224529577,Tonsil
2.20067208755829,Tonsil
1.9284392205367922,Tonsil
1.8549137275078769,Tonsil
2.0376530600822584,Tonsil
1.9674212864000693,Bladder
1.832483898672149,Bladder
1.9932788893437634,Bladder
2.0034613660044958,Bladder
1.900558004245829,Bladder
1.9973709620584268,Bladder
1.9319446676634662,Bladder
2.0408328077736444,Bladder
1.9307641802991102,Bladder
1.9623711019258796,Bladder
1.9670266938508343,Appendix
1.7820752914331843,Appendix
1.9134738851359614,Appendix
1.8163622661305456,Appendix
1.9748280612085711,Appendix
1.9631420239903459,Appendix
1.8378061846180898,Appendix
1.8292402325672337,Appendix
1.8803463209356936,Appendix
1.8777538439256054,Appendix
1.7094465281149152,Skin
1.9634593517746484,Skin
1.806928497655652,Skin
2.0294109717525233,Skin
1.9401025364817701,Skin
1.8930984884241941,Skin
1.8793897574501879,Skin
1.7633098639509388,Skin
1.8758442542824407,Skin
1.8337151153063525,Skin
