APD,Group
1.9865345208302114,Salivary Gland
2.088195460234054,Salivary Gland
2.1348440488530627,Salivary Gland
1.9289732460760192,Salivary Gland
1.9591130364459022,Salivary Gland
2.2070717261133135,Salivary Gland
2.111019966737203,Salivary Gland
1.9845692835188862,Salivary Gland
1.8072128501374503,Skeletal Muscle
1.7869429394228324,Skeletal Muscle
1.8724096386922537,Skeletal Muscle
1.8290619852656227,Skeletal Muscle
1.802650348152537,Skeletal Muscle
1.6774794682724221,Skeletal Muscle
1.8857833791597323,Skeletal Muscle
1.776194572272892,Skeletal Muscle
1.742079006503057,Skeletal Muscle
1.6221000931071978,Skeletal Muscle
1.9186690074815396,Small Intestine
1.8926453044070721,Small Intestine
1.8031367251272319,Small Intestine
1.91936860264651,Small Intestine
1.7945241629848043,Small Intestine
